2025-09-09 16:27:13 {'cpu_percent': 8.7, 'mem_percent': 78.7}
2025-09-09 16:27:23 {'cpu_percent': 9.7, 'mem_percent': 78.5}
2025-09-09 16:27:34 {'cpu_percent': 12.4, 'mem_percent': 79.2}
2025-09-09 16:27:44 {'cpu_percent': 3.1, 'mem_percent': 78.9}
2025-09-09 16:27:54 {'cpu_percent': 22.2, 'mem_percent': 80.7}
2025-09-09 16:28:04 {'cpu_percent': 11.8, 'mem_percent': 80.3}
2025-09-09 16:28:14 {'cpu_percent': 9.2, 'mem_percent': 81.2}
2025-09-09 16:28:57 {'cpu_percent': 2.0, 'mem_percent': 80.9}
2025-09-09 16:29:07 {'cpu_percent': 12.6, 'mem_percent': 81.1}
2025-09-09 16:29:17 {'cpu_percent': 5.8, 'mem_percent': 81.2}
2025-09-09 16:29:27 {'cpu_percent': 0.0, 'mem_percent': 81.5}
2025-09-09 16:30:24 {'cpu_percent': 3.1, 'mem_percent': 80.6}
2025-09-09 16:30:34 {'cpu_percent': 2.8, 'mem_percent': 80.9}
2025-09-09 16:30:44 {'cpu_percent': 6.2, 'mem_percent': 81.3}
2025-09-09 16:31:08 {'cpu_percent': 1.0, 'mem_percent': 81.2}
2025-09-09 16:31:18 {'cpu_percent': 7.5, 'mem_percent': 81.3}
2025-09-09 16:31:28 {'cpu_percent': 2.0, 'mem_percent': 80.3}
2025-09-09 16:31:46 {'cpu_percent': 4.4, 'mem_percent': 80.8}
2025-09-09 16:31:56 {'cpu_percent': 6.6, 'mem_percent': 80.1}
2025-09-09 17:17:53 {'cpu_percent': 5.1, 'mem_percent': 76.8}
2025-09-09 17:18:03 {'cpu_percent': 7.2, 'mem_percent': 76.8}
2025-09-09 17:18:13 {'cpu_percent': 25.2, 'mem_percent': 77.1}
2025-09-09 17:18:23 {'cpu_percent': 3.0, 'mem_percent': 77.9}
2025-09-09 17:18:33 {'cpu_percent': 0.0, 'mem_percent': 76.5}
2025-09-09 17:18:43 {'cpu_percent': 19.8, 'mem_percent': 76.6}
2025-09-09 17:18:54 {'cpu_percent': 2.9, 'mem_percent': 77.5}
2025-09-09 17:19:04 {'cpu_percent': 11.3, 'mem_percent': 77.6}
2025-09-09 17:19:14 {'cpu_percent': 28.2, 'mem_percent': 77.6}
2025-09-09 17:19:24 {'cpu_percent': 8.8, 'mem_percent': 77.7}
2025-09-09 17:19:34 {'cpu_percent': 7.1, 'mem_percent': 78.8}
2025-09-09 17:19:38 {'cpu_percent': 12.0, 'mem_percent': 78.7}
2025-09-09 17:19:48 {'cpu_percent': 4.2, 'mem_percent': 78.6}
2025-09-09 17:19:58 {'cpu_percent': 6.3, 'mem_percent': 79.4}
