2025-09-09 16:13:43 {'cpu_percent': 0.6, 'mem_percent': 24.5}
2025-09-09 16:14:16 {'cpu_percent': 0.6, 'mem_percent': 24.4}
2025-09-09 16:14:26 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 16:14:36 {'cpu_percent': 0.0, 'mem_percent': 24.5}
2025-09-09 16:14:45 {'cpu_percent': 0.0, 'mem_percent': 24.5}
2025-09-09 16:14:55 {'cpu_percent': 0.0, 'mem_percent': 24.5}
2025-09-09 16:15:11 {'cpu_percent': 0.6, 'mem_percent': 24.4}
2025-09-09 16:15:21 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 16:15:59 {'cpu_percent': 0.0, 'mem_percent': 24.5}
2025-09-09 16:16:09 {'cpu_percent': 0.6, 'mem_percent': 24.5}
2025-09-09 16:16:19 {'cpu_percent': 0.0, 'mem_percent': 24.5}
2025-09-09 16:16:29 {'cpu_percent': 6.2, 'mem_percent': 24.5}
2025-09-09 16:17:08 {'cpu_percent': 0.6, 'mem_percent': 24.4}
2025-09-09 16:17:27 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 16:17:37 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 16:17:47 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 16:17:57 {'cpu_percent': 0.0, 'mem_percent': 24.4}
2025-09-09 17:15:46 {'cpu_percent': 3.3, 'mem_percent': 76.2}
2025-09-09 17:15:56 {'cpu_percent': 33.6, 'mem_percent': 76.9}
2025-09-09 17:16:06 {'cpu_percent': 10.0, 'mem_percent': 77.7}
2025-09-09 17:16:16 {'cpu_percent': 3.7, 'mem_percent': 76.2}
2025-09-09 17:16:54 {'cpu_percent': 3.9, 'mem_percent': 77.2}
2025-09-09 17:17:04 {'cpu_percent': 2.0, 'mem_percent': 77.1}
2025-09-09 17:17:14 {'cpu_percent': 14.2, 'mem_percent': 78.0}
2025-09-09 17:17:24 {'cpu_percent': 13.4, 'mem_percent': 78.2}
2025-09-09 17:17:34 {'cpu_percent': 11.5, 'mem_percent': 77.5}
2025-09-09 17:17:44 {'cpu_percent': 5.2, 'mem_percent': 76.8}
